Name,Link,Snippet
"CALL for ARTISTS to SELL GENTLY Used ART SUPPLIES  Facebook https://www.facebook.com › ... › Shopping Event","https://www.facebook.com/events/stellas-art-gallery-38033-euclid-avenue-t1-willoughby-oh-united-states-ohio-4409/call-for-artists-to-sell-gently-used-art-supplies/662887026460634/?locale=mt_MT","..."
"Craft & Gift Show  Facebook https://www.facebook.com › events","https://www.facebook.com/events/4141974309419200/?acontext=%7B%22action_history%22%3A%22null%22%7D","..."
"CALL for ARTISTS to SELL GENTLY Used ART SUPPLIES  Facebook https://www.facebook.com › ... › Shopping Event","https://www.facebook.com/events/stellas-art-gallery-38033-euclid-avenue-t1-willoughby-oh-united-states-ohio-4409/call-for-artists-to-sell-gently-used-art-supplies/662887026460634/?locale=gl_ES","..."
"CALL for ARTISTS to SELL GENTLY Used ART SUPPLIES  Facebook https://www.facebook.com › ... › Shopping Event","https://www.facebook.com/events/stellas-art-gallery-38033-euclid-avenue-t1-willoughby-oh-united-states-ohio-4409/call-for-artists-to-sell-gently-used-art-supplies/662887026460634/?locale=ca_ES","..."
"CALL for ARTISTS to SELL GENTLY Used ART SUPPLIES  Facebook https://www.facebook.com › ... › Shopping Event","https://www.facebook.com/events/stellas-art-gallery-38033-euclid-avenue-t1-willoughby-oh-united-states-ohio-4409/call-for-artists-to-sell-gently-used-art-supplies/662887026460634/?locale=ro_RO","..."
"November Craft Show  Facebook https://www.facebook.com › events","https://www.facebook.com/events/1494520528520228/?acontext=%7B%22action_history%22%3A%22null%22%7D","..."
"CALL for ARTISTS to SELL GENTLY Used ART SUPPLIES  Facebook https://www.facebook.com › ... › Shopping Event","https://www.facebook.com/events/stellas-art-gallery-38033-euclid-avenue-t1-willoughby-oh-united-states-ohio-4409/call-for-artists-to-sell-gently-used-art-supplies/662887026460634/?locale=tl_PH","..."
"4th Annual Fall Market  Facebook https://www.facebook.com › events › 4432-state-route-3...","https://www.facebook.com/events/4432-state-route-305-southington-ohio/4th-annual-fall-market/1436546220900583/","..."
"Oktoberfest 2025  Facebook https://www.facebook.com › events › oktoberfest-2025","https://www.facebook.com/events/hill-view-retirement-community/oktoberfest-2025/1295419734785330/","..."
"Fall craft Bazzar  Facebook https://m-fallback.facebook.com › events","https://m-fallback.facebook.com/events/9412073825567694/?acontext=%7B%22action_history%22%3A%22%5B%7B%5C%22surface%5C%22%3A%5C%22newsfeed%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22feed_attachment%5C%22%2C%5C%22extra_data%5C%22%3A%5B%5D%7D%2C%7B%5C%22surface%5C%22%3A%5C%22permalink%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22SUGGESTED_EVENTS_HSCROLL%5C%22%2C%5C%22extra_data%5C%22%3A%5B%5D%7D%2C%7B%5C%22surface%5C%22%3A%5C%22permalink%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22SUGGESTED_EVENTS_HSCROLL%5C%22%2C%5C%22extra_data%5C%22%3A%5B%5D%7D%5D%22%2C%22has_source%22%3Atrue%7D","..."
